#name,age (Myr),age lower,age upper,disc fraction (%),disc fraction lower,disc fraction upper
NGC 2021,0.3,-0.0,0.7,86,78,94
NGC 1333,1.0,0.0,2.0,83,72,94
Taurus,1.5,0.0,2.5,80,75,85
Orion Nebula Cluster,1.5,0.5,3.0,53,48,58
NGC 7129,2.0,0.5,3.5,79,73,90
NGC 2068/71,2.0,1.0,3.0,54,40,68
IC 348,2.5,1.0,4.0,30,26,34
Cha I,2.6,1.1,4.1,60,50,70
sigma Ori,3.0,1.5,4.5,26,21,31
NGC 2264,3.2,2.2,4.2,52,42,62
Ori OB1b,4.0,2.5,5.5,13,8,18
Tr 37,4.2,3.2,5.2,38,29,47
Upper Sco,5.0,2.0,7.0,14,10,18
NGC 2362,5.0,2.5,6.5,13,10,18
Gamma Vel,5.0,3.5,6.5,7,3,9
Lambda Ori,5.0,3.5,6.5,5,3,9
Eta Cha,6.0,5.0,8.0,30,17,43
TW Hya,8.0,6.0,10.0,11,5,17
25 Ori,8.5,7.0,10.0,6,3,9
NGC 7160,11.9,8.3,15.3,3,0,6
Beta Pic,12.1,8.5,15.6,0,-0,7
UCL/LCC,16.6,11.6,20.1,2,0,4
